
=== Sheet: Get External ===
No data found in this sheet.

=== Sheet: STOK PACUL ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R56: 08232-M99-K1JN1 | CAIRAN | 08232-M99-K1JN1 | OLI MATIC H.MPX 2 0.8L | 68 |  |  | F:=E56+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C56,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R57: 08232-M99-K8JN9 | CAIRAN | 08232-M99-K8JN9 | OLI BEBEK H.MPX 1 0.8L | 8 |  |  | F:=E57+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C57,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R58: 082332M99K8JNI | CAIRAN | 082332M99K8JNI | OLI SPORT H.MPX 1 1L | 4 |  |  | F:=E58+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C58,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R59: 082342MAK1LN0 | NOSTOK | 082342MAK1LN0 | OLI SPORT H.SPX 1 1L | 0 |  |  | F:=E59+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C59,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R60: 082342MAK8LN0 | NOSTOK | 082342MAK8LN0 | SPX 1 1,2 LITER | 0 |  |  | F:=E60+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C60,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R61: 08234-2MB-K8JN0 | CAIRAN | 08234-2MB-K8JN0 | OLI MATIC H.SPX 2 0.8L | 10 |  |  | F:=E61+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C61,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R62: 08CLA-H50-500 | CAIRAN | 08CLA-H50-500 | COOLANT RADIATOR H.AHM ORI | 8 |  |  | F:=E62+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C62,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R63: 09283-22035-000 | NOSTOK | 09283-22035-000 | SEAL KER AS SUZUKI ADDRES (PS) | 0 |  |  | F:=E63+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C63,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R64: 09283B12010N000 | NOSTOK | 09283B12010N000 | OIL SEAL VERSNELENG S.SHOGUN ORI | 0 |  |  | F:=E64+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C64,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R65: 09283B17025N000 | NOSTOK | 09283B17025N000 | SEAL GEAR DEPAN S.SMASH ORI | 0 |  |  | F:=E65+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C65,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R66: 09283B22L02N000 | NOSTOK | 09283B22L02N000 | OIL SEAL KRUK AS DEPAN NEX (PK) | 0 |  |  | F:=E66+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C66,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R67: 09289B05008N000 | NOSTOK | 09289B05008N000 | SEAL KLEP S.ORI | 0 |  |  | F:=E67+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C67,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R68: 09352-50823-600 | NOSTOK | 09352-50823-600 | SELANG HISAP SGP ORI | 0 |  |  | F:=E68+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C68,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R69: 09355-50105L460 | KARET & SELANG | 09355-50105L460 | SELANG BENSIN S.SGP ORI | 2 |  |  | F:=E69+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C69,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R70: 09444B-20007-N000 | NOSTOK | 09444B-20007-N000 | PER VERSNELENG SATRIA FU 150 SGP ORI | 0 |  |  | F:=E70+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C70,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R71: 09471-12008-000 | KELISTRIKAN. STATER/ENGKOL | 09471-12008-000 | BOHLAM BELAKANG SGP ORI (PS) | 9 |  |  | F:=E71+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C71,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R72: 09482B00456N000 | NOSTOK | 09482B00456N000 | BUSI CR8E S.SGP ORI (VIXION) | 0 |  |  | F:=E72+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C72,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R73: 0991012327938 | NOSTOK | 0991012327938 | OLI BEBEK MESRAN SUPER FOR MOTOR 0,8L | 0 |  |  | F:=E73+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C73,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R74: 0994042102124 | NOSTOK | 0994042102124 | MP-80/ MASTER SUPER PENETRANT | 0 |  |  | F:=E74+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C74,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R75: 10W-30 | NOSTOK | 10W-30 | OLI MATIC REPSOL 0.8L | 0 |  |  | F:=E75+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C75,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R76: 10W-30 API SL | NOSTOK | 10W-30 API SL | OLI MATIC FEDERAL MATIC 0.8L | 0 |  |  | F:=E76+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C76,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R77: 110/70-17 54S | NOSTOK | 110/70-17 54S | BAN TUBLES 110/70-17 ZENEOS | 0 |  |  | F:=E77+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C77,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R78: 110/90-1264J | RODA | 110/90-1264J | BAN LUAR BELAKANG 110/90-12 FDR | 1 |  |  | F:=E78+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C78,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R79: 1109-162S | NOSTOK | 1109-162S | SUP/RUJI 300-1 H.AHM | 0 |  |  | F:=E79+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C79,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R80: 1110-159NS | NOSTOK | 1110-159NS | RUJI BELAKANG KARISMA/REVO | 0 |  |  | F:=E80+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C80,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R81: 11103-KVB-901 | NOSTOK | 11103-KVB-901 | KARET MONTING H.VARIO ORI | 0 | 11103-KVB-930 |  | F:=E81+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C81,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R82: 11103-KVB-930 | KARET & SELANG | 11103-KVB-930 | KARET MONTING H.VARIO ORI | 2 | 11103-KVB-930 |  | F:=E82+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C82,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R83: 11108-KZL-930 | NOSTOK | 11108-KZL-930 | PLAT KANCINGAN AS PULLY BEAT/VARIO | 0 |  |  | F:=E83+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C83,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R84: 1111-160 | NOSTOK | 1111-160 | SUP RUJI 250-1 H.AHM | 0 |  |  | F:=E84+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C84,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R85: 1111-183 | NOSTOK | 1111-183 | SUP/RUJI DEPAN H.SUPRA X 125 ORI | 0 |  |  | F:=E85+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C85,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R86: 11173-46G10-000 | NOSTOK | 11173-46G10-000 | SEAL HEAD/KARET SILINDER HEAD S.SPIN ORI | 0 |  |  | F:=E86+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C86,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R87: 11203-KVB-901 | NOSTOK | 11203-KVB-901 | KARET BAWAH SHOCK BELAKANG H.VARIO ORI | 0 |  |  | F:=E87+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C87,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R88: 11210B09G10N000 | NOSTOK | 11210B09G10N000 | BLOK + PISTON S.SMASH ORI | 0 |  |  | F:=E88+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C88,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R89: 11361-K44-V00 | NOSTOK | 11361-K44-V00 | TUTUP POMPA OLI BEAT/SCOOPY/ESP | 0 |  |  | F:=E89+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C89,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R90: 11361-KWN-901 |  | 11361-KWN-901 | PLAT DUDUKAN SPULL ASSY H.VARIO ORI | 0 |  |  | F:=E90+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C90,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R91: 11363-KWN-900 | KARET & SELANG | 11363-KWN-900 | ORING MAGHNET H.VARIO 125 ORI | 1 |  |  | F:=E91+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C91,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R92: 11394-K56-V50 | NOSTOK | 11394-K56-V50 | PERPAK KOPLING H.CB150R 15-18/CBR150 ORI | 0 |  |  | F:=E92+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C92,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R93: 11394-KWB-920 | NOSTOK | 11394-KWB-920 | PERPAK KOPLING H.BLADE/REVO ABSOLUT | 0 |  |  | F:=E93+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C93,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R94: 11395-K56-V50 | NOSTOK | 11395-K56-V50 | PERPAK MAGNET H.CB150R ORI | 1 |  |  | F:=E94+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C94,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R95: 11395-KGH-901 | NOSTOK | 11395-KGH-901 | PERPAK MAGNET H.CB150R | 0 |  |  | F:=E95+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C95,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R96: 11395-KPH-900 | NOSTOK | 11395-KPH-900 | PERPAK MAGNET H.KARISMA/SUPRA X 125 ORI | 0 |  |  | F:=E96+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C96,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R97: 11395-KWB-920 | NOSTOK | 11395-KWB-920 | PERPAK MAGNET H.REVO FI ORI | 0 |  |  | F:=E97+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C97,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R98: 11482-12K00-000 | NOSTOK | 11482-12K00-000 | PERPAK KOPLING S.SATRIA 150 FI ORI | 0 |  |  | F:=E98+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C98,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R99: 11483-46G10-000 | NOSTOK | 11483-46G10-000 | PERPAK MAGNET S.SPIN ORI | 0 |  |  | F:=E99+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C99,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R100: 11-6002-2RS1/C3H | NOSTOK | 11-6002-2RS1/C3H | BEARING BALL IMI | 0 |  |  | F:=E100+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C100,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 

=== Sheet: STOK PESALAKAN ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R2: - | NOSTOK | - | - | 0 |  |  | F:=E2+SUMIF('BR DTG ADW'!C:C,C2,'BR DTG ADW'!E:E) | JANGAN LUPA KOLOM H COPY RUMUS SAMPAI BAWAH |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R3: -- | NOSTOK | -- | - | 0 |  |  | F:=E3+SUMIF('BR DTG ADW'!C:C,C3,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R4: 011-K44-NPP | NOSTOK | 011-K44-NPP | PISTON KIT H.BEAT FI ESP/POP (1.00) IMI | 0 |  |  | F:=E4+SUMIF('BR DTG ADW'!C:C,C4,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R5: 011-KPH-950-025 | NOSTOK | 011-KPH-950-025 | RING PISTON H.KARISMA IMI | 0 |  |  | F:=E5+SUMIF('BR DTG ADW'!C:C,C5,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R6: 01-C21-300-40AA | NOSTOK | 01-C21-300-40AA | BATOK DEPAN SMASH 125 WIN | 0 |  |  | F:=E6+SUMIF('BR DTG ADW'!C:C,C6,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R7: 01-C21-307-40AA | NOSTOK | 01-C21-307-40AA | SLEBOR DEPAN SMASH 125 WIN | 0 |  |  | F:=E7+SUMIF('BR DTG ADW'!C:C,C7,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R8: 01-D17-706-99AA | KELISTRIKAN. STATER/ENGKOL | 01-D17-706-99AA | SWITCH REM Y.JUPITER Z IMI | 2 |  |  | F:=E8+SUMIF('BR DTG ADW'!C:C,C8,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R9: 01-D24-001-00AA | NOSTOK | 01-D24-001-00AA | KACA LAMPU DEPAN MIO | 0 |  |  | F:=E9+SUMIF('BR DTG ADW'!C:C,C9,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R10: 06141-GN5-505 | NOSTOK | 06141-GN5-505 | RANTE KETENG SUPRA X | 0 |  |  | F:=E10+SUMIF('BR DTG ADW'!C:C,C10,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R11: 06141-KRS-505 | NOSTOK | 06141-KRS-505 | KETENG SET SUPRAFIT NEW | 0 |  |  | F:=E11+SUMIF('BR DTG ADW'!C:C,C11,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R12: 06141-KWB-505 | NOSTOK | 06141-KWB-505 | RANTE KETENG SET REVO 110 ABSOLUTE | 0 |  |  | F:=E12+SUMIF('BR DTG ADW'!C:C,C12,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R13: 06381-KEV-880 | NOSTOK | 06381-KEV-880 | STANG SEHER SUPRA X | 0 |  |  | F:=E13+SUMIF('BR DTG ADW'!C:C,C13,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R14: 06381-KPH-900 | NOSTOK | 06381-KPH-900 | ROD KIT CONNECTING KARISMA | 0 |  |  | F:=E14+SUMIF('BR DTG ADW'!C:C,C14,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R15: 06381-KVB-930 | NOSTOK | 06381-KVB-930 | STANG SEHER H.SUPRA X 125 HELM IN ORI | 0 |  |  | F:=E15+SUMIF('BR DTG ADW'!C:C,C15,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R16: 06381-KVY-960 | NOSTOK | 06381-KVY-960 | STANG SEHER BEAT CARBU AHM | 0 |  |  | F:=E16+SUMIF('BR DTG ADW'!C:C,C16,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R17: 06381-KZL-A00 | NOSTOK | 06381-KZL-A00 | STANG SEHER BEAT FI AHM | 0 |  |  | F:=E17+SUMIF('BR DTG ADW'!C:C,C17,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R18: 06381-KZR-600 | NOSTOK | 06381-KZR-600 | SETANG SEHER H.VARIO 125 ORI | 0 |  |  | F:=E18+SUMIF('BR DTG ADW'!C:C,C18,'BR DTG ADW'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
