
=== Sheet: Get External ===
No data found in this sheet.

=== Sheet: STOK PACUL ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R42: 06455-KPP-901 | REM | 06455-KPP-901 | DISC PAD H.MEGAPRO ADV ORI | 1 |  |  | F:=E42+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C42,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R43: 06455-KPP-N01 | REM | 06455-KPP-N01 | DISC PAD H.MEGAPRO ADV ORI (06455-KPP-N02) | 0 |  |  | F:=E43+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C43,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R44: 06455-KR3-404 | REM | 06455-KR3-404 | DISC PAD H.SUPRA X ORI | 1 |  |  | F:=E44+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C44,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R45: 06455-KVB-401 | REM | 06455-KVB-401 | DISC PAD H.VARIO LAMA ORI | 0 |  |  | F:=E45+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C45,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R46: 06455-KVB-T01 | REM | 06455-KVB-T01 | DISC PAD H.VARIO TECHNO ORI | 1 |  |  | F:=E46+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C46,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R47: 06455-KVY-911 | NOSTOK | 06455-KVY-911 | DISC PAD H.BEAT CARBU LAMA ORI | 0 |  |  | F:=E47+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C47,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R48: 06455-KWB-601 | REM | 06455-KWB-601 | DISC PAD H.REVO ORI | 2 |  |  | F:=E48+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C48,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R49: 06455-KYE-901 | NOSTOK | 06455-KYE-901 | DISC PAD H.MEGAPRO MONO ORI | 0 |  |  | F:=E49+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C49,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R50: 06535-GN5-505 | BAUD | 06535-GN5-505 | KOMSTIR H.GRAND/BEAT/VARIO/PCX ORI | 10 |  |  | F:=E50+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C50,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R51: 06535-KTR-900 | BAUD | 06535-KTR-900 | KOMSTIR H.CB150R ORI | 1 |  |  | F:=E51+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C51,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R52: 08143-63007L000 | NOSTOK | 08143-63007L000 | LAHER 6300 SGP | 0 |  |  | F:=E52+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C52,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R53: 08232-2MA-U0JN3 | NOSTOK | 08232-2MA-U0JN3 | MPX 3 0.8 AHM | 0 |  |  | F:=E53+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C53,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R54: 08232-2MB-K2LN1 | CAIRAN | 08232-2MB-K2LN1 | OLI MATIC H.MPX 2 0.65L | 80 |  |  | F:=E54+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C54,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R55: 08232-2MB-K8JN1 | CAIRAN | 08232-2MB-K8JN1 | OLI GEAR H.AHM 120ML | 26 |  |  | F:=E55+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C55,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
