RECONSTRUCTED EXCEL CONTENT FROM SHEET20 (PO SUPPLIER)
R1: A1: STS | B1: PACUL
R2: A2: RakBarang | B2: (Multiple Items)
R4: A4: NoItem | B4: NamaItem | C4: STATUS | D4: DI NOSTOK
R89: A89: 90202-KN7-670 | B89: MUR PULLY H.BEAT FI ORI | C89: D | D89: F:IFERROR(VLOOKUP(A89,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R90: A90: 90454-GB2-000 | B90: KANCING GANDA H.BEAT ORI | C90: D | D90: F:IFERROR(VLOOKUP(A90,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R91: A91: 91009-KVB-903 | B91: LAHER 60/22 UU / LAHER GEAR AS RODA H.VARIO ORI | C91: D | D91: F:IFERROR(VLOOKUP(A91,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R92: A92: 91201-GCC-771 | B92: OIL SEAL MAGHNET H.BEAT FI NON ESP/ 16X26X7 ORI | C92: D | D92: F:IFERROR(VLOOKUP(A92,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R93: A93: 91201-K59-A11 | B93: OIL SEAL MAGHNET H.VARIO LED/ 20.8X32X6 ORI | C93: D | D93: F:IFERROR(VLOOKUP(A93,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R94: A94: 91201-KCW-851 | B94: OIL SEAL MAGHNET H.BEAT CARBU/ 19.8X30X7 ORI | C94: D | D94: F:IFERROR(VLOOKUP(A94,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R95: A95: 91201-KWN-902 | B95: OIL SEAL MAGHNET H.VARIO LED/ 20.8X32X6 ORI | C95: D | D95: F:IFERROR(VLOOKUP(A95,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R96: A96: 91202-KWN-901 | B96: OIL SEAL KRUK AS / SIL KER AS H.VARIO 125/ 26X45X6 ORI (PK) | C96: D | D96: F:IFERROR(VLOOKUP(A96,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R97: A97: 91203-436-004 | B97: OIL SEAL WATERPUMP H.VARIO/ 12X24X5 ORI | C97: D | D97: F:IFERROR(VLOOKUP(A97,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R98: A98: 91204-K59-A11 | B98: OIL SEAL RODA BELAKANG H.VARIO 125/150/ 34X52X7 ORI | C98: D | D98: F:IFERROR(VLOOKUP(A98,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R99: A99: 93102-20815 | B99: OIL SEAL GARDAN / SIL GARDAN Y.AEROX/MIO M3/S/Z ORI (PK) | C99: D | D99: F:IFERROR(VLOOKUP(A99,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R100: A100: 93102-22829 | B100: OIL SEAL MAGHNET Y.NMAX ORI (PK) | C100: D | D100: F:IFERROR(VLOOKUP(A100,'NOSTOK PACUL'!A:C,3,0),0) (=0)
